councilors,voted_proportion,votes,year,municipality_code,party,municipality,main_party,region
0,8.51,44,2011,8048,JpC - E,Carme,JxC,Barcelona
0,4.75,89,2007,8158,ICV-EUIA-EPM,Papiol,Podem,Barcelona
7,83.58,280,2011,17109,CiU,Montagut i Oix,CIU,Girona
9,35.13,5740,2011,8089,PSC-PM,Gavà,PSC,Barcelona
0,7.25,33,2011,8256,PSC-PM,Santa Maria de Martorelles,PSC,Barcelona
3,21.84,704,2019,8140,JXCAT -JUNTS,Navarcles,JxC,Barcelona
0,7.11,54,2011,25053,ERC-AM,Benavent de Segrià,ERC,Lleida
5,17.67,2322,2019,8172,ERC - JxP - AM,Premià de Mar,ERC,Barcelona
0,3.89,162,2007,25207,PP,Solsona,PP,Lleida
3,31.59,425,2019,17019,ERC-+B-AM,Besalú,ERC,Girona
4,69.66,62,2011,25097,APF-AM,Fulleda,ERC,Lleida
1,7.37,441,2003,8105,PP,Llagosta,PP,Barcelona
1,8.9,170,2011,8158,ERC-AM,Papiol,ERC,Barcelona
1,14.95,42,2011,17069,PM,Fontanals de Cerdanya,Others,Girona
7,29.65,4077,2019,8123,PSC-CP,Molins de Rei,PSC,Barcelona
1,8.02,704,2003,8112,ICV-EPM,Manlleu,Podem,Barcelona
0,4.47,474,2019,8147,MO-C,Olesa de Montserrat,Others,Barcelona
2,17.1,451,2003,8020,CIU,Begues,CIU,Barcelona
4,47.04,302,2003,25067,PSC-PM,Castelldans,PSC,Lleida
1,50.76,33,2019,25910,ET-AM,Josa i Tuixén,ERC,Lleida
0,3.42,5,2011,25157,PP,Ossó de Sió,PP,Lleida
3,22.56,370,2011,43140,PP,Santa Oliva,PP,Tarragona
0,0.17,83,2011,43148,PFiV,Tarragona,Others,Tarragona
2,28.21,121,2003,25069,CIU,Castelló de Farfanya,CIU,Lleida
1,8.86,535,2015,17152,C's,Roses,Ciutadans,Girona
1,50.44,57,2003,25904,PSC-PM,Castell de Mur,PSC,Lleida
2,15.5,460,2015,8108,PSC-CP,Lliçà de Vall,PSC,Barcelona
6,22.27,3148,2015,8180,PSC-CP,Ripollet,PSC,Barcelona
2,14.81,828,2007,8240,ESQUERRA-AM,Sant Sadurní d'Anoia,ERC,Barcelona
4,36.89,470,2007,8237,CIU,Sant Quirze de Besora,CIU,Barcelona
1,11.69,235,2015,17181,EMP,Santa Cristina d'Aro,Others,Girona
2,13.52,486,2011,8155,ERC-AM,Palafolls,ERC,Barcelona
1,9.63,148,2003,8233,CIU,Sant Pere de Torelló,CIU,Barcelona
1,12.56,77,2019,43119,PA,Puigpelat,Others,Tarragona
2,13.25,654,2003,8157,PDF,Pallejà,Others,Barcelona
0,3.41,1483,2019,17079,GeCP-ECG,Girona,Others,Girona
0,0.79,1,2015,17061,PP,Das,PP,Girona
5,67.24,195,2019,43065,UpG-AM,Garcia,ERC,Tarragona
1,34.81,55,2003,17136,ERC-AM,Pontós,ERC,Girona
4,58.22,347,2003,17903,CIU,Sant Julià del Llor i Bonmatí,CIU,Girona
1,33.04,37,2003,25103,PP,Granyanella,PP,Lleida
7,67.47,645,2003,8268,CIU,Cercs,CIU,Barcelona
3,22.32,574,2003,8030,CIU,Cabrils,CIU,Barcelona
