"","main_party","year","votes_sum","councilors_mean","voted_prop_sum"
"1","CIU",2003,795977,4.05773420479303,26.7035763697385
"2","CIU",2007,727251,3.83838383838384,24.3979444361692
"3","CIU",2011,781377,4.27491785323111,26.2137730023068
"4","CIU",2015,667907,3.82966396292005,22.4070614884386
"5","CIU",2019,8276,1.69565217391304,0.2776447033469
"6","CUP",2003,8174,0.904761904761905,2.97829857315669
"7","CUP",2007,20470,0.657142857142857,7.4584991182429
"8","CUP",2011,57595,1.3030303030303,20.9854546514509
"9","CUP",2015,179600,2.26241134751773,65.4394939734453
"10","CUP",2019,8613,0.909090909090909,3.13825368370425
"11","Ciutadans",2007,67515,0.166666666666667,12.657788810001
"12","Ciutadans",2011,37344,0.109375,7.00129549464085
"13","Ciutadans",2015,234524,1.76767676767677,43.9688256369203
"14","Ciutadans",2019,194004,1.16585365853659,36.3720900584379
"15","ERC",2003,410618,2.29795158286778,16.8871023726449
"16","ERC",2007,331746,2.28148148148148,13.6434074096008
"17","ERC",2011,248489,2.35929203539823,10.2193746535129
"18","ERC",2015,493941,3.3231884057971,20.313849448993
"19","ERC",2019,946754,3.46673596673597,38.9362661152484
"20","JxC",2007,655,4,0.113802210021544
"21","JxC",2011,2807,3,0.487698936687748
"22","JxC",2015,10867,3.5625,1.88807422336507
"23","JxC",2019,561231,3.59212198221093,97.5104246299256
"24","Others",2003,191638,1.86384976525822,11.8345614299441
"25","Others",2007,173080,1.52962298025135,10.6885163291974
"26","Others",2011,314251,1.32928311057108,19.4064995664815
"27","Others",2015,398740,1.80395136778115,24.6240986890697
"28","Others",2019,541599,1.76344086021505,33.4463239853073
"29","PACMA",2007,49,0,0.214114048503386
"30","PACMA",2011,6401,0,27.9702862136771
"31","PACMA",2015,9189,0,40.1529386060738
"32","PACMA",2019,7246,0,31.6626611317457
"33","PP",2003,360673,0.678227360308285,25.1063986779695
"34","PP",2007,284197,0.577154308617234,19.7829146764046
"35","PP",2011,363948,0.967280163599182,25.3343709843809
"36","PP",2015,235395,0.420952380952381,16.385814066483
"37","PP",2019,192365,0.34468085106383,13.390501594762
"38","PSC",2003,1091413,3.40916271721959,27.2841995267695
"39","PSC",2007,912423,3.63230769230769,22.8096341025933
"40","PSC",2011,706504,3.32678571428571,17.6618714478028
"41","PSC",2015,530949,2.37571157495256,13.2731774814289
"42","PSC",2019,758876,2.45472061657033,18.9711174414055
"43","Podem",2003,329329,1.95215311004785,25.0532705979011
"44","Podem",2007,249524,1.52767527675277,18.9822101687695
"45","Podem",2011,231461,1.58744394618834,17.6080911971335
"46","Podem",2015,302036,1.70700636942675,22.9769915139804
"47","Podem",2019,202165,1.17647058823529,15.3794365222154
"48","VOX",2007,12425,0.435897435897436,24.9382815165687
"49","VOX",2011,1158,0.0625,2.32422776629268
"50","VOX",2019,36240,0.0666666666666667,72.7374907171387
